"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","FP0.63","TP0.63","FN0.63","TN0.63","FP0.73","TP0.73","FN0.73","TN0.73","FP0.83","TP0.83","FN0.83","TN0.83","FP0.93","TP0.93","FN0.93","TN0.93","FP0.64","TP0.64","FN0.64","TN0.64","FP0.74","TP0.74","FN0.74","TN0.74","FP0.84","TP0.84","FN0.84","TN0.84","FP0.94","TP0.94","FN0.94","TN0.94","FP0.65","TP0.65","FN0.65","TN0.65","FP0.75","TP0.75","FN0.75","TN0.75","FP0.85","TP0.85","FN0.85","TN0.85","FP0.95","TP0.95","FN0.95","TN0.95","S1","S2","S3","S4","S5"
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.751502169836307,0.745107059686025,0.748486179168144,0.739338624135755,0.788495934232288
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.726861910035495,0.739846582421686,0.713899673770802,0.783641061494703,0.667348949645598
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.674627450502984,0.764393651607535,0.77188398075564,0.734138430319475,0.856704734562302
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.797517141019277,0.768166692413319,0.754581234439791,0.750922185782109,0.877329284408295
2,2,3,993,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.781925713272324,0.77000182836656,0.7305710949469,0.819414389450737,0.478996287636832
2,3,2,993,2,3,2,993,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.745911713755917,0.736945517360126,0.758017351493149,0.765528556296242,0.745053792168578
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.758229503570806,0.774537540352994,0.770531393163926,0.723757545658869,0.819424179824623
0,4,1,995,0,4,1,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.779145660600207,0.777132134185314,0.751152334188958,0.649723581518968,0.871701380610538
2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0.781668090162394,0.744207203901028,0.731511262904096,0.775776611143165,0.559621625820225
2,4,1,993,2,4,1,993,1,4,1,994,1,4,1,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.656689996735411,0.772110827912237,0.857302278300749,0.699996691392079,0.919196513208757
1,4,1,994,1,4,1,994,1,4,1,994,1,4,1,994,1,3,2,994,1,3,2,994,1,3,2,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.644371149392807,0.770304390919704,0.829169509859762,0.699140064088932,0.806393862905065
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0.753891650924631,0.777220618547332,0.783425245778933,0.755706457763524,0.728625319599859
2,3,2,993,2,3,2,993,2,3,2,993,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.741034805984501,0.726724125657114,0.754393310999959,0.761051886055646,0.776573818625989
2,2,3,993,2,2,3,993,1,2,3,994,0,2,3,995,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.658972245731454,0.64653569456624,0.650521278190247,0.57599018179531,0.362828633005466
1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0.750643323796806,0.758550666423882,0.768147671903698,0.747148117280641,0.578604207247568
1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0.815462011874555,0.790928018223258,0.740166995173403,0.765110551199304,0.643073691205418
1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.747960099807298,0.709719907712017,0.694217068482595,0.868014445069599,0.829077765446887
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.746613276878798,0.806829462497461,0.832076734774057,0.769784989668655,0.775479474638126
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.733902563445629,0.718232188058113,0.72841635628415,0.722662826553673,0.717316101948261
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0.784936131368931,0.757836540692177,0.788411980620742,0.76909662091134,0.73061650334165
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.760000067013197,0.769568205039826,0.78332651258435,0.725846341395804,0.626880179299741
