"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","S1","S2"
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.751944461670523,0.780735684017313
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0.790705991265025,0.748587040055444
2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.773196607677099,0.746637056000878
1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.775946596266602,0.766373194760394
1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.764083680161062,0.73100141132993
2,3,2,993,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0.760235793510073,0.76519746215206
0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.772305221561618,0.754769896679646
3,2,3,992,2,2,3,993,2,2,3,993,2,2,3,993,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.715260159378361,0.692367247985294
2,3,2,993,2,3,2,993,2,3,2,993,2,3,2,993,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.746062944961209,0.778072548292019
0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,3,2,995,0,3,2,995,0,3,2,995,0.807031620680362,0.743065054829276
1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.751849743165985,0.74265945640317
1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0.724944707646431,0.725475088899713
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.776410727938781,0.756782530576283
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.749923218088197,0.740486092502021
1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.770934080874315,0.75280857669346
1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.788148369636382,0.828609792659778
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.733077380136203,0.743516043271869
2,3,2,993,1,3,2,994,1,3,2,994,1,3,2,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.730246279589603,0.784747573265429
1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.727223471007489,0.802306060127961
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.741835870520165,0.728600314804347
0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0.78540064838873,0.683689285791619
2,3,2,993,2,3,2,993,2,3,2,993,1,2,3,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.721470777813971,0.748975324189026
2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0.773304827989129,0.751956787819331
