"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","FP0.63","TP0.63","FN0.63","TN0.63","FP0.73","TP0.73","FN0.73","TN0.73","FP0.83","TP0.83","FN0.83","TN0.83","FP0.93","TP0.93","FN0.93","TN0.93","FP0.64","TP0.64","FN0.64","TN0.64","FP0.74","TP0.74","FN0.74","TN0.74","FP0.84","TP0.84","FN0.84","TN0.84","FP0.94","TP0.94","FN0.94","TN0.94","FP0.65","TP0.65","FN0.65","TN0.65","FP0.75","TP0.75","FN0.75","TN0.75","FP0.85","TP0.85","FN0.85","TN0.85","FP0.95","TP0.95","FN0.95","TN0.95","S1","S2","S3","S4","S5"
5,4,1,70,4,4,1,71,2,4,1,73,0,4,1,75,1,4,1,74,1,4,1,74,1,4,1,74,1,4,1,74,1,4,1,74,1,4,1,74,1,4,1,74,1,4,1,74,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,52,5,0,23,43,5,0,32,39,5,0,36,35,5,0,40,0.510271546635183,0.653370910287239,0.804009112135942,0.638579946864176,0.453900853381969
6,5,0,69,2,5,0,73,1,4,1,74,0,3,2,75,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,3,5,0,72,1,5,0,74,1,5,0,74,1,5,0,74,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,52,4,1,23,39,4,1,36,33,4,1,42,27,3,2,48,0.32368452407894,0.715363776797118,0.790370507939456,0.640870817158896,0.42220899212299
3,4,1,72,1,4,1,74,1,4,1,74,1,3,2,74,2,4,1,73,2,4,1,73,1,4,1,74,1,4,1,74,2,4,1,73,2,4,1,73,2,4,1,73,1,4,1,74,1,5,0,74,0,5,0,75,0,5,0,75,0,5,0,75,51,5,0,24,45,5,0,30,43,5,0,32,37,4,1,38,0.425662024573888,0.673530500272292,0.808121504890658,0.62928336637019,0.404000313750098
4,4,1,71,1,4,1,74,1,4,1,74,0,4,1,75,2,4,1,73,2,4,1,73,1,4,1,74,1,4,1,74,1,4,1,74,1,4,1,74,1,4,1,74,1,4,1,74,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,25,4,1,50,14,4,1,61,7,4,1,68,0,4,1,75,0.332211296121814,0.668184165811054,0.845372979701338,0.654195797744761,0.481350603617469
0,1,4,75,0,1,4,75,0,1,4,75,0,1,4,75,3,4,1,72,2,4,1,73,2,4,1,73,1,4,1,74,4,4,1,71,2,4,1,73,2,4,1,73,2,4,1,73,1,5,0,74,0,5,0,75,0,5,0,75,0,5,0,75,66,4,1,9,60,4,1,15,51,3,2,24,44,3,2,31,0.588621695478715,0.655616672707515,0.738498828953272,0.636600825620388,0.398785531598032
3,5,0,72,1,5,0,74,0,3,2,75,0,3,2,75,1,5,0,74,1,5,0,74,0,5,0,75,0,5,0,75,2,5,0,73,2,5,0,73,1,4,1,74,1,4,1,74,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,27,5,0,48,23,5,0,52,18,5,0,57,2,5,0,73,0.26577849434937,0.610175473668705,0.75793909349349,0.64034994372894,0.438573412109433
2,4,1,73,1,4,1,74,1,4,1,74,0,4,1,75,3,4,1,72,2,4,1,73,2,4,1,73,0,4,1,75,74,5,0,1,74,5,0,1,74,5,0,1,74,5,0,1,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,61,4,1,14,58,3,2,17,50,3,2,25,43,3,2,32,0.345803333821764,0.601597322503656,0.880631085831508,0.619887252398637,0.390173360262591
3,4,1,72,2,4,1,73,1,3,2,74,0,3,2,75,2,4,1,73,2,4,1,73,2,4,1,73,2,3,2,73,2,3,2,73,2,3,2,73,1,3,2,74,1,3,2,74,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,61,3,2,14,58,3,2,17,46,3,2,29,40,3,2,35,0.295915656435887,0.68909633714103,0.798000713069627,0.649816616888835,0.400126262626263
2,4,1,73,2,4,1,73,0,4,1,75,0,4,1,75,2,4,1,73,1,4,1,74,1,4,1,74,0,4,1,75,74,5,0,1,74,5,0,1,74,5,0,1,74,5,0,1,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,56,4,1,19,47,4,1,28,42,4,1,33,35,3,2,40,0.316818171512367,0.664163315707986,0.837631817327249,0.656655288492331,0.416537424167442
1,3,2,74,1,3,2,74,1,2,3,74,1,2,3,74,2,4,1,73,2,4,1,73,1,4,1,74,1,4,1,74,73,5,0,2,72,5,0,3,72,5,0,3,72,5,0,3,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,23,4,1,52,20,4,1,55,8,4,1,67,2,4,1,73,0.568028649949728,0.659623093881165,0.690540872286029,0.693710645541555,0.52818418993032
